id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能初始CD,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,401,袁术步兵,,,,,,,,3,107,107,107,0,29,176,0,50,0,11,,,,,1,,
2,1,2,401,袁术步兵,,,,,,,,3,107,107,107,0,21,191,0,50,0,21,,,,,1,,
3,2,1,290,大宝剑,,,,,,,,6,81,81,81,0,,,0,,0,40,,,,,1,,
4,2,2,291,剑客,,,,,,,,6,81,81,81,0,,,0,,0,53,,,,,1,,
5,3,1,423,袁术弓兵,,,,,,,,3,111,111,111,0,12,26,0,112,0,5,,,,,1,,
6,3,2,423,袁术弓兵,,,,,,,,3,111,111,111,0,1,20,0,79,0,5,,,,,1,,
7,1,1,422,袁术骑兵,,,,,,,,3,135,135,135,0,160,20,0,50,0,19,,,,,2,,
8,1,2,422,袁术骑兵,,,,,,,,3,135,135,135,0,179,23,0,50,0,9,,,,,2,,
9,2,1,287,酒鬼老头,,,,,,,,6,98,98,98,0,,5,0,295,0,61,,,,,2,,
10,2,2,286,酒鬼,,,,,,,,6,98,98,98,0,,4,0,290,0,55,,,,,2,,
11,3,1,464,袁术军师,,,,,,,,3,135,135,135,0,38,25,0,89,0,0,,,,,2,,
12,3,2,444,袁术军师,,,,,,,,3,142,142,142,0,9,11,0,56,0,6,,,,,2,,
13,1,1,282,藤甲兵,,,,,,,,6,115,115,115,0,,290,0,150,0,64,,,,,3,,
14,1,2,282,藤甲兵,,,,,,,,6,115,115,115,0,,256,0,150,0,61,,,,,3,,
15,2,1,43,纪灵,,1,1,10,3000,5500,100,6,126,126,126,0,281,4,0,150,0,62,,,,,3,,
16,2,2,422,袁术左统军,,,,,,,,3,159,159,159,0,181,22,0,50,0,9,,,,,3,,
17,3,1,293,驯兽师,,,,,,,,6,115,115,115,0,,,0,,0,62,,,,,3,,
18,3,2,292,狩猎者,,,,,,,,6,115,115,115,0,,,0,,0,61,,,,,3,,
