id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能初始CD,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,296,恶霸,,,,,,,,4,26,26,26,0,,,0,,0,36,,,,,1,,
2,1,2,296,恶霸,,,,,,,,4,26,26,26,0,,,0,,0,39,,,,,1,,
3,2,1,287,酒鬼老头,,,,,,,,4,26,26,26,0,,2,0,261,0,67,,,,,1,,
4,2,2,287,酒鬼老头,,,,,,,,4,26,26,26,0,,8,0,258,0,60,,,,,1,,
5,3,1,403,起义军,,,,,,,,1,35,35,35,0,5,10,0,55,0,1,,,,,1,,
6,3,2,,0,,,,,,,,1,0,0,0,0,9,8,0,50,0,,,,,,1,,
7,1,1,1,张飞,步兵,1,1,10,3000,5500,100,4,38,38,38,0,2,254,0,150,0,30,,,,,2,,
8,1,2,280,屠夫,,,,,,,,4,35,35,35,0,,263,0,150,0,46,,,,,2,,
9,2,1,421,百姓,,,,,,,,1,49,49,49,0,2,159,0,50,0,6,,,,,2,,
10,2,2,463,起义军,,,,,,,,1,49,49,49,0,2,1,0,55,0,11,,,,,2,,
11,3,1,463,起义军,,,,,,,,1,49,49,49,0,4,0,0,63,0,21,,,,,2,,
12,3,2,,0,,,,,,,,1,0,0,0,0,4,13,0,50,0,,,,,,2,,
