id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能初始CD,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,,0,,,,,,,,9,0,0,0,0,6,92,0,50,0,,,,,,1,,
2,1,2,,0,,,,,,,,9,0,0,0,0,77,13,0,50,0,,,,,,1,,
3,2,1,,0,,,,,,,,9,0,0,0,0,80,109,0,50,0,,,,,,1,,
4,2,2,,0,,,,,,,,9,0,0,0,0,49,98,0,50,0,,,,,,1,,
5,3,1,,0,,,,,,,,9,0,0,0,0,21,64,0,50,0,,,,,,1,,
6,3,2,,0,,,,,,,,9,0,0,0,0,70,99,0,50,0,,,,,,1,,
7,1,1,,0,,,,,,,,9,0,0,0,0,90,102,0,50,0,,,,,,2,,
8,1,2,,0,,,,,,,,9,0,0,0,0,25,29,0,50,0,,,,,,2,,
9,2,1,,0,,,,,,,,9,0,0,0,0,16,55,0,50,0,,,,,,2,,
10,2,2,,0,,,,,,,,9,0,0,0,0,55,84,0,50,0,,,,,,2,,
11,3,1,,0,,,,,,,,9,0,0,0,0,65,47,0,50,0,,,,,,2,,
12,3,2,,0,,,,,,,,9,0,0,0,0,58,26,0,50,0,,,,,,2,,
13,1,1,,0,,,,,,,,9,0,0,0,0,90,111,0,50,0,,,,,,3,,
14,1,2,,0,,,,,,,,9,0,0,0,0,4,39,0,50,0,,,,,,3,,
15,2,1,,0,,,,,,,,9,0,0,0,0,86,53,0,50,0,,,,,,3,,
16,2,2,,0,,,,,,,,9,0,0,0,0,75,47,0,50,0,,,,,,3,,
17,3,1,,0,,,,,,,,9,0,0,0,0,26,48,0,50,0,,,,,,3,,
18,3,2,,0,,,,,,,,9,0,0,0,0,24,106,0,50,0,,,,,,3,,
