id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能初始CD,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,401,黄巾军步兵,,,,,,,,1,36,36,36,0,0,151,0,50,0,16,,,,,1,,
2,1,2,,0,,,,,,,,1,0,0,0,0,3,2,0,50,0,,,,,,1,,
3,2,1,296,恶霸,,,,,,,,2,58,58,58,0,,,0,,0,33,,,,,1,,
4,2,2,404,黄巾军军师,,,,,,,,1,36,36,36,0,6,2,0,66,0,13,,,,,1,,
5,3,1,464,黄巾军军师,,,,,,,,1,38,38,38,0,0,3,0,84,0,3,,,,,1,,
6,3,2,,0,,,,,,,,1,0,0,0,0,1,5,0,50,0,,,,,,1,,
7,1,1,166,张梁,,1,1,10,2500,5000,100,2,63,63,63,0,254,3,0,150,0,37,,,,,2,,
8,1,2,280,屠夫,,,,,,,,4,44,44,44,0,3,251,0,150,0,26,,,,,2,,
9,2,1,464,黄巾军军师,,,,,,,,1,36,36,36,0,1,1,0,63,0,22,,,,,2,,
10,2,2,424,黄巾军军师,,,,,,,,1,38,38,38,0,5,0,0,69,0,16,,,,,2,,
11,3,1,292,狩猎者,,,,,,,,5,38,38,38,0,,,0,,0,69,,,,,2,,
12,3,2,,0,,,,,,,,1,0,0,0,0,1,6,0,50,0,,,,,,2,,
