id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能初始CD,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,406,虎豹骑,,,,,,,,5,193,193,193,0,205,37,0,50,0,18,,,,,1,,
2,1,2,426,虎豹骑,,,,,,,,5,202,202,202,0,172,4,0,50,0,24,,,,,1,,
3,2,1,18,张辽,骑兵,,1,9,3500,7000,100,7,183,183,183,0,259,53,0,150,0,44,,,,,1,,
4,2,2,407,青州弓兵,,,,,,,,5,193,193,193,0,27,52,0,70,0,11,,,,,1,,
5,3,1,285,投石车,,,,,,,,7,168,168,168,0,59,9,0,251,0,65,,,,,1,,
6,3,2,285,投石车,,,,,,,,7,168,168,168,0,9,54,0,306,0,52,,,,,1,,
7,1,1,425,青州步兵,,,,,,,,5,245,245,245,0,34,205,0,50,0,13,,,,,2,,
8,1,2,445,青州步兵,,,,,,,,5,257,257,257,0,40,197,0,50,0,11,,,,,2,,
9,2,1,45,曹仁,步兵,,1,9,2500,5000,100,7,222,222,222,0,19,268,0,150,0,64,,,,,2,,
10,2,2,426,骁骑兵,,,,,,,,5,245,245,245,0,170,22,0,50,0,14,,,,,2,,
11,3,1,294,天命者,,,,,,,,7,204,204,204,0,,,0,,0,44,,,,,2,,
12,3,2,294,天命者,,,,,,,,7,204,204,204,0,,,0,,0,50,,,,,2,,
13,1,1,445,青州步兵,,,,,,,,5,302,302,302,0,46,195,0,50,0,6,,,,,3,,
14,1,2,45,曹仁,步兵,,1,9,3000,6000,101,7,261,261,261,0,34,306,0,150,0,46,,,,,3,,
15,2,1,13,曹操,步兵,,1,9,3000,6000,102,7,261,261,261,0,57,262,0,150,0,48,,,,,3,,
16,2,2,427,青州弓兵,,,,,,,,5,288,288,288,0,40,16,0,82,0,5,,,,,3,,
17,3,1,41,夏侯渊,弓兵,1,1,9,2500,5000,100,7,261,261,261,0,52,56,0,263,0,50,,,,,3,,
18,3,2,447,青州弓兵,,,,,,,,5,302,302,302,0,45,23,0,135,0,23,,,,,3,,
