id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,282,藤甲兵,,,,,,,5,400000,250,500,,,300,,450,,,,,,,1,,,
2,1,2,282,藤甲兵,,,,,,,5,400000,250,500,,,300,,450,,,,,,,1,,,
3,2,1,287,南蛮巫师,,,,,,,5,400000,250,500,,,300,,450,,,,,,,1,,,
4,2,2,287,南蛮巫师,,,,,,,5,400000,250,500,,,300,,450,,,,,,,1,,,
5,3,1,285,南蛮投石车,,,,,,,5,400000,250,500,,,300,,450,,,,,,,1,,,
6,3,2,285,南蛮投石车,,,,,,,5,400000,250,500,,,300,,450,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
