id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,535,甄家家丁,,,,,,,3,1600,200,200,0,0,0,0,250,0,100,,,,,1,,,
2,1,2,535,甄家家丁,,,,,,,3,1600,200,200,0,0,0,0,250,0,100,,,,,1,,,
3,2,1,536,甄家家丁,,,,,,,3,1600,200,200,0,0,0,0,250,0,100,,,,,1,,,
4,2,2,536,甄家家丁,,,,,,,3,1600,200,200,0,0,0,0,250,0,100,,,,,1,,,
5,3,1,537,甄家管家,,,,,,,5,1600,200,200,0,0,0,0,250,0,100,,,,,1,,,
6,3,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,
7,1,1,521,糜家家丁,,,,,,,3,2400,200,200,0,0,0,0,250,0,100,,,,,2,,,
8,1,2,521,糜家家丁,,,,,,,3,2400,200,200,0,0,0,0,250,0,100,,,,,2,,,
9,2,1,538,糜家家丁,,,,,,,3,2400,200,200,0,0,0,0,250,0,100,,,,,2,,,
10,2,2,538,糜家家丁,,,,,,,3,2400,200,200,0,0,0,0,250,0,100,,,,,2,,,
11,3,1,539,糜家管家,,,,,,,5,2400,200,200,0,0,0,0,250,0,100,,,,,2,,,
12,3,2,,,,,,,,,,,,,,0,,,,,,,,,,2,,,
13,1,1,529,秦家家丁,,,,,,,3,3600,200,200,0,0,0,0,250,0,100,,,,,3,,,
14,1,2,529,秦家家丁,,,,,,,3,3600,200,200,0,0,0,0,250,0,100,,,,,3,,,
15,2,1,540,秦家家丁,,,,,,,3,3600,200,200,0,0,0,0,250,0,100,,,,,3,,,
16,2,2,540,秦家家丁,,,,,,,3,3600,200,200,0,0,0,0,250,0,100,,,,,3,,,
17,3,1,541,秦家管家,,,,,,,5,3600,200,200,0,0,0,0,250,0,100,,,,,3,,,
18,3,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,
19,1,1,542,鲁家家丁,,,,,,,3,5400,200,200,0,0,0,0,250,0,100,,,,,4,,,
20,1,2,542,鲁家家丁,,,,,,,3,5400,200,200,0,0,0,0,250,0,100,,,,,4,,,
21,2,1,543,鲁家家丁,,,,,,,3,5400,200,200,0,0,0,0,250,0,100,,,,,4,,,
22,2,2,543,鲁家家丁,,,,,,,3,5400,200,200,0,0,0,0,250,0,100,,,,,4,,,
23,3,1,544,鲁家管家,,,,,,,5,5400,200,200,0,0,0,0,250,0,100,,,,,4,,,
24,3,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,
25,1,1,545,马家家丁,,,,,,,3,8100,200,200,0,0,0,0,250,0,100,,,,,5,,,
26,1,2,545,马家家丁,,,,,,,3,8100,200,200,0,0,0,0,250,0,100,,,,,5,,,
27,2,1,528,马家家丁,,,,,,,3,8100,200,200,0,0,0,0,250,0,100,,,,,5,,,
28,2,2,528,马家家丁,,,,,,,3,8100,200,200,0,0,0,0,250,0,100,,,,,5,,,
29,3,1,533,马家管家,,1,,,,,5,8100,200,200,0,0,0,0,250,0,100,,,,,5,,,
30,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,
