id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能初始CD,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,401,黄巾军步兵,,,,,,,,1,25,25,25,0,4,151,0,50,0,17,,,,,1,,
2,1,2,401,黄巾军步兵,,,,,,,,1,25,25,25,0,4,151,0,50,0,1,,,,,1,,
3,2,1,464,黄巾军军师,,,,,,,,1,25,25,25,0,6,0,0,50,0,20,,,,,1,,
4,2,2,404,黄巾军军师,,,,,,,,1,25,25,25,0,4,6,0,80,0,4,,,,,1,,
5,3,1,284,屠夫张,,,,,,,,4,19,19,19,0,,5,0,255,0,27,,,,,1,,
6,3,2,,0,,,,,,,,1,0,0,0,0,6,5,0,50,0,,,,,,1,,
7,1,1,201,张宝,,1,1,10,2000,5000,100,2,44,44,44,0,4,256,0,150,0,75,,,,,2,,
8,1,2,464,黄巾军军师,,,,,,,,1,25,25,25,0,3,3,0,76,0,14,,,,,2,,
9,2,1,464,黄巾军军师,,,,,,,,1,25,25,25,0,6,2,0,79,0,12,,,,,2,,
10,2,2,294,天命者,,,,,,,,4,23,23,23,0,,,0,,0,70,,,,,2,,
11,3,1,294,天命者,,,,,,,,4,23,23,23,0,,,0,,0,64,,,,,2,,
12,3,2,,0,,,,,,,,1,0,0,0,0,4,5,0,50,0,,,,,,2,,
