id,x,y,武将ID,武将名称,职业名称,BOSS,是否放技能,技能等级,技能初始CD,技能CD,技能权值,进化等级,生命,攻击,防御,命中,闪避,格挡,破击,暴击,韧性,爆伤,抵抗,移动速度,攻击速度,攻击距离,阶段,面向,比例,多格
1,1,1,296,恶霸,,,,,,,,7,77,77,77,0,,,0,,0,74,,,,,1,,
2,1,2,297,恶棍,,,,,,,,7,77,77,77,0,,,0,,0,29,,,,,1,,
3,2,1,4,夏侯惇,步兵,,1,10,3000,7000,100,7,84,84,84,0,21,267,0,150,0,40,,,,,1,,
4,2,2,407,青州兵弓兵,,,,,,,,3,118,118,118,0,1,3,0,125,0,18,,,,,1,,
5,3,1,427,青州兵弓兵,,,,,,,,3,122,122,122,0,23,33,0,51,0,5,,,,,1,,
6,3,2,285,投石车,,,,,,,,7,77,77,77,0,,4,0,253,0,28,,,,,1,,
7,1,1,109,李典,弓兵,,1,10,3000,7000,100,7,102,102,102,0,31,15,0,261,0,57,,,,,2,,
8,1,2,290,大宝剑,,,,,,,,7,93,93,93,0,,,0,,0,48,,,,,2,,
9,2,1,407,青州弓兵,,,,,,,,3,143,143,143,0,11,31,0,109,0,14,,,,,2,,
10,2,2,428,青州军师,,,,,,,,3,149,149,149,0,6,29,0,95,0,1,,,,,2,,
11,3,1,468,青州军师,,,,,,,,3,149,149,149,0,17,24,0,56,0,3,,,,,2,,
12,3,2,285,投石车,,,,,,,,7,93,93,93,0,,1,0,281,0,37,,,,,2,,
13,1,1,73,典韦,步兵,1,1,10,2500,5500,101,7,120,120,120,0,9,256,0,150,0,60,,,,,3,,
14,1,2,290,大宝剑,,,,,,,,7,110,110,110,0,,,0,,0,35,,,,,3,,
15,2,1,13,曹操,步兵,,1,10,2500,6000,102,7,120,120,120,0,22,272,0,150,0,31,,,,,3,,
16,2,2,295,算命先生,,,,,,,,7,110,110,110,0,,,0,,0,34,,,,,3,,
17,3,1,281,弩车,,,,,,,,7,110,110,110,0,,31,0,253,0,72,,,,,3,,
18,3,2,281,弩车,,,,,,,,7,110,110,110,0,,0,0,280,0,51,,,,,3,,
